School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences,School Year
Thomson ES,223,126,34,16,1,8/31/21
Truesdell Elementary School,373,184,102,27,15,8/31/21
Tubman ES,512,228,141,59,46,8/31/21
Turner ES,438,58,91,138,143,8/31/21
Tyler ES,386,222,57,22,22,8/31/21
Van Ness ES,324,154,52,36,40,8/31/21
Walker-Jones EC,388,42,72,117,153,8/31/21
Watkins ES (Capitol Hill Cluster),434,284,70,11,0,8/31/21
Wheatley EC,324,78,60,83,97,8/31/21
Whittier Elementary School,284,160,57,23,19,8/31/21
Wilson HS,2085,655,496,348,512,8/31/21
H.D. Woodson HS,509,20,28,73,386,8/31/21
