School Name,Total Absences,1-5 Absences,6-10 Absences,11-20 Absences,21+ Absences,School Year
Burroughs ES,209,87,68,24,15,8/31/18
Burrville ES,217,79,81,35,15,8/31/18
C.W. Harris ES,206,76,58,44,17,8/31/18
Cap Hill Montessori @ Logan 259,259,147,47,24,12,8/31/18
Cardozo EC,717,95,95,153,364,8/31/18
CHOICE Academy @ Washington Met,0,0,0,0,0,8/31/18
Cleveland ES,241,123,48,30,0,8/31/18
Columbia Heights EC (CHEC),1304,418,257,281,245,8/31/18
Coolidge HS,330,61,47,63,143,8/31/18
Deal MS,1547,1026,132,46,22,8/31/18
Dorothy I. Height ES,342,183,72,35,0,8/31/18
Drew ES,220,95,59,38,20,8/31/18
Dunbar HS,718,27,43,135,508,8/31/18
Eastern HS,776,59,86,170,458,8/31/18
Eaton ES,456,260,23,0,0,8/31/18
Eliot-Hine MS,265,72,48,67,69,8/31/18
Ellington School of the Arts,567,112,142,147,159,8/31/18
Excel Academy,406,88,114,115,80,8/31/18
Garfield ES,274,112,99,22,25,8/31/18
Garrison ES,217,113,32,18,0,8/31/18
H.D. Cooke ES,330,162,67,53,17,8/31/18
Hardy MS,476,301,42,10,0,8/31/18
Hart MS,421,169,137,72,31,8/31/18
Hearst ES,303,172,24,0,0,8/31/18
Hendley HS,365,84,121,104,48,8/31/18
Houston ES,226,100,57,38,18,8/31/18
Hyde-Addison ES,318,167,38,0,0,8/31/18
J.O. Wilson ES,399,146,108,83,25,8/31/18
Janney ES,687,427,24,0,0,8/31/18
Jefferson MS Academy,363,112,88,84,62,8/31/18
Johnson John Hayden MS,321,37,72,121,89,8/31/18
Kelly Miller MS,557,89,118,175,171,8/31/18
Ketcham ES,256,57,67,69,44,8/31/18
Key ES,364,203,24,0,0,8/31/18
Kimball ES,316,185,88,20,0,8/31/18
King M.L. ES,270,53,57,86,70,8/31/18
Kramer MS,254,17,31,58,146,8/31/18
Lafayette ES,803,438,11,0,0,8/31/18
Langdon ES,340,158,91,48,14,8/31/18
Langley ES,232,78,71,48,23,8/31/18
LaSalle-Backus EC,386,183,84,48,24,8/31/18
Lawrence E. Boone ES,345,137,94,69,24,8/31/18
Leckie EC,465,176,127,114,34,8/31/18
Ludlow-Taylor ES,335,222,32,0,0,8/31/18
Luke Moore Alternative HS,165,0,0,13,130,8/31/18
MacFarland MS,387,176,71,57,22,8/31/18
Malcolm X ES @ Green,212,81,39,50,39,8/31/18
Mann ES,374,235,17,0,0,8/31/18
Marie Reed ES,358,196,58,24,0,8/31/18
Maury ES,339,196,21,12,0,8/31/18
McKinley MS,259,0,38,93,118,8/31/18
McKinley Technology HS,631,125,206,220,67,8/31/18
Miner ES,284,126,64,48,25,8/31/18
Moten ES,322,84,80,94,51,8/31/18
Murch ES,579,348,38,0,0,8/31/18
Nalle ES,313,184,55,30,11,8/31/18
Noyes ES,222,132,38,11,0,8/31/18
Oyster-Adams Bilingual,686,422,76,0,0,8/31/18
Patterson ES,353,89,113,76,70,8/31/18
Payne ES,268,109,60,45,38,8/31/18
Peabody ES (Capitol Hill Clus),88,60,0,0,0,8/31/18
Phelps ACE HS,264,43,63,79,75,8/31/18
Plummer ES,293,92,102,59,27,8/31/18
Powell ES,469,294,41,17,0,8/31/18
Randle Highlands ES,272,178,58,0,0,8/31/18
Raymond EC,505,285,134,36,17,8/31/18
River Terrace ,72,24,13,12,17,8/31/18
Ron Brown High School,275,23,44,71,134,8/31/18
Roosevelt High School,697,67,82,138,400,8/31/18
Roosevelt STAY @ MacFarland,189,10,15,11,145,8/31/18
Ross ES,166,94,12,0,0,8/31/18
Savoy ES,242,38,67,100,35,8/31/18
School Without Walls HS,590,396,34,0,0,8/31/18
School-Within School @ Goding,237,145,21,0,0,8/31/18
Seaton ES,309,168,70,31,0,8/31/18
Shepherd ES,324,200,27,12,0,8/31/18
Simon ES,233,69,69,65,25,8/31/18
Smothers ES,205,68,68,37,23,8/31/18
Sousa MS,262,61,76,81,40,8/31/18
Stanton ES,424,131,112,97,67,8/31/18
Stoddert ES,466,288,44,0,0,8/31/18
Stuart-Hobson MS,461,251,102,38,11,8/31/18
SWW @ Francis Stevens,414,235,65,18,0,8/31/18
Takoma EC,471,300,46,31,12,8/31/18
Thomas ES,321,76,92,85,57,8/31/18
Thomson ES,263,163,26,0,0,8/31/18
Truesdell EC,559,270,131,70,26,8/31/18
Tubman ES,526,264,108,60,22,8/31/18
Turner ES,440,72,100,153,108,8/31/18
Tyler ES,403,244,85,11,0,8/31/18
Van Ness ES,208,125,31,22,0,8/31/18
Walker-Jones EC,379,130,93,91,50,8/31/18
Washington Metropolitan HS,150,0,0,0,130,8/31/18
Watkins ES (Capitol Hill Clus),456,332,57,0,0,8/31/18
West EC,291,127,74,28,17,8/31/18
Wheatley EC,288,99,93,53,33,8/31/18
Whittier EC,341,156,91,61,18,8/31/18
Wilson HS,1803,694,466,333,266,8/31/18
H.D Woodson HS,514,27,49,107,327,8/31/18
Youth Services Center,118,28,15,0,0,8/31/18
Aiton ES,172,105,32,13,0,8/31/19
Amidon-Bowen ES,274,162,54,28,0,8/31/19
Anacostia HS,332,44,39,65,176,8/31/19
Ballou HS,606,30,63,129,381,8/31/19
Ballou STAY,128,0,0,17,100,8/31/19
Bancroft ES,526,235,18,0,0,8/31/19
Bard High School Early College DC,174,55,46,46,24,8/31/19
Barnard ES,533,312,47,10,0,8/31/19
Beers ES,410,225,79,28,0,8/31/19
Benjamin Banneker HS,522,349,45,0,0,8/31/19
Brent ES,376,212,17,0,0,8/31/19
Brightwood EC,637,351,75,27,10,8/31/19
Brookland MS,394,265,61,0,11,8/31/19
Browne EC,387,237,50,14,11,8/31/19
Bruce-Monroe ES @ Park View,391,213,24,0,0,8/31/19
Bunker Hill ES,184,92,20,10,0,8/31/19
Burroughs ES,213,126,33,0,0,8/31/19
Burrville ES,224,109,71,23,0,8/31/19
C.W. Harris ES,191,93,44,32,0,8/31/19
Cap Hill Montessori @ Logan,236,141,30,12,0,8/31/19
Cardozo EC,706,180,117,142,243,8/31/19
Cleveland ES,232,135,14,0,0,8/31/19
Columbia Heights EC,1460,555,289,274,210,8/31/19
Coolidge HS,458,152,111,72,96,8/31/19
Deal MS,1483,724,90,24,0,8/31/19
Dorothy I. Height ES,353,189,40,18,0,8/31/19
Drew ES,198,136,34,10,0,8/31/19
Dunbar HS,691,67,113,199,0,8/31/19
Eastern HS,803,101,128,161,398,8/31/19
Eaton ES,441,209,11,0,0,8/31/19
Eliot-Hine MS,279,107,63,40,45,8/31/19
